replicate,seed,param,true,postMean,postStd,withinCI95,rHat
1,NaN,mu,-0.5,-0.940349507376248,1.33250897939134,1,1.04094596974243
1,NaN,phi,0.95,0.913749684374249,0.0387868238166286,1,1.03381276409403
1,NaN,sigma_eta,0.25,0.34896551328301,0.089540095395491,1,1.03234552562102
1,NaN,rho,-0.5,-0.448612025692185,0.146381877548366,1,1.20109493772358
1,NaN,nu,8,14.9126961793057,7.508991734778,1,1.167791151157
1,NaN,beta_0,0.05,0.141667267177129,0.0884432647958022,1,1.06959111391281
1,NaN,beta_1,0.2,0.233786021069673,0.124474876035656,1,1.04944435385291
1,NaN,v_h,0.05,-0.034467107922924,0.086302198632188,1,1.02559066893359
1,NaN,v_r,-0.05,-0.0264113722178703,0.0829549093765268,1,1.01049406514317
1,NaN,v_omega,0.05,0.00863030596638277,0.0793568607514484,1,1.08290157951209
1,NaN,w_h,0.1,0.00902026467429549,0.079310925516195,1,1.05496464224554
1,NaN,b,0,-0.0294625573158694,0.0788212290666566,1,1.05315946882727
2,NaN,mu,-0.5,-0.88011198403789,0.790186261950105,1,1.04309359226693
2,NaN,phi,0.95,0.85693412557709,0.0558648991554443,1,1.04855655766817
2,NaN,sigma_eta,0.25,0.348945945675666,0.101851894359198,1,1.02704108433875
2,NaN,rho,-0.5,-0.381092943605619,0.149771462765962,1,1.00523665643723
2,NaN,nu,8,8.61540537247206,4.5226968530797,1,1.03023413617455
2,NaN,beta_0,0.05,0.19128657293544,0.115798495367099,1,1.02558445503159
2,NaN,beta_1,0.2,0.282436757964088,0.13595628486758,1,1.01747427834309
2,NaN,v_h,0.05,-0.00813953135961041,0.115399445187988,1,1.09272032858933
2,NaN,v_r,-0.05,0.00656940357099252,0.0850717695770039,1,1.01313058035858
2,NaN,v_omega,0.05,0.0143931949428589,0.100506917533958,1,1.01154650803437
2,NaN,w_h,0.1,-0.0464495824238636,0.0862183985878056,1,1.0520228004168
2,NaN,b,0,-0.0306426199743245,0.0798206041498136,1,1.01380300698404
3,NaN,mu,-0.5,-0.342935909837901,0.736515510501753,1,1.02524434558263
3,NaN,phi,0.95,0.941559607461146,0.0247346838042557,1,1.03061972859885
3,NaN,sigma_eta,0.25,0.296326217486309,0.0630248105061885,1,1.03255784427575
3,NaN,rho,-0.5,-0.161969774646545,0.130160791137458,0,1.01246104551828
3,NaN,nu,8,16.1335386562143,7.24818076998497,1,1.06401777657361
3,NaN,beta_0,0.05,0.0653115935284244,0.0639783625274113,1,1.04320153997768
3,NaN,beta_1,0.2,0.2755782203874,0.11367153706237,1,1.10088144406071
3,NaN,v_h,0.05,0.0130432449420475,0.0702710482853477,1,1.09149561571784
3,NaN,v_r,-0.05,0.0135208901693579,0.05673914526223,1,1.01175881789398
3,NaN,v_omega,0.05,-0.0181322025121348,0.0913495307095856,1,1.15978591262995
3,NaN,w_h,0.1,0.00563194573936408,0.0837221257014504,1,1.05331109300626
3,NaN,b,0,-0.0613390493205334,0.0880665391125603,1,1.08204411017775
4,NaN,mu,-0.5,-3.12167415683387,1.41429984205397,1,1.1474478838937
4,NaN,phi,0.95,0.93306346216129,0.0230152397354467,1,1.01608154942617
4,NaN,sigma_eta,0.25,0.342004451265885,0.0703791623020138,1,1.00931690699721
4,NaN,rho,-0.5,-0.458702573566593,0.161004384406706,1,1.08978965090622
4,NaN,nu,8,9.67114430071377,6.24949393568882,1,1.00951266082573
4,NaN,beta_0,0.05,0.229537734860549,0.109988476287139,1,1.12255104107093
4,NaN,beta_1,0.2,0.219312009784286,0.114263048529517,1,1.03880720478588
4,NaN,v_h,0.05,-0.000679109374229968,0.0865966766772247,1,1.04036956197889
4,NaN,v_r,-0.05,-0.00251990941548473,0.0940344673959761,1,1.0694798350324
4,NaN,v_omega,0.05,0.00441622193003517,0.0884120568973823,1,1.08328382333514
4,NaN,w_h,0.1,0.0154143232618347,0.0932462484235109,1,1.08669290745753
4,NaN,b,0,0.019609275070878,0.0815075623086983,1,1.04710183965831
5,NaN,mu,-0.5,-1.7966131424947,1.16132544082995,1,1.00760209417511
5,NaN,phi,0.95,0.932348159282648,0.0265878961958827,1,1.06000838264281
5,NaN,sigma_eta,0.25,0.336305299945857,0.0644108993120013,1,1.00042050100032
5,NaN,rho,-0.5,-0.511971446605765,0.134108644878738,1,1.0299063280743
5,NaN,nu,8,12.2746415948224,6.10257374222326,1,1.10159978304261
5,NaN,beta_0,0.05,0.170261637735841,0.0940728737060909,1,1.01986039048304
5,NaN,beta_1,0.2,0.265249195229445,0.142701928153282,1,1.06127754639028
5,NaN,v_h,0.05,-0.0092442320461035,0.10059171600324,1,1.09112729559642
5,NaN,v_r,-0.05,-0.00766807697766708,0.0925235860294456,1,1.0307980636391
5,NaN,v_omega,0.05,-0.00996825151330199,0.0957570938528525,1,1.03791690439315
5,NaN,w_h,0.1,0.0188557219601768,0.0917320516077631,1,1.01149318773369
5,NaN,b,0,-0.0182384302265833,0.086707680752644,1,1.10374080639669
