logZ_mean,logZ_mcse,replicate
-1179.81772768854,0.622230870907515,1
-1047.92666547305,0.0987233787999457,2
-1179.81229270657,0.778451635933152,3
-1068.7236420633,0.246947300509646,4
-1254.5412934896,0.21923681044052,5
