Model,PPS,QS1,QS5,MSE,MAE,R2LOG,QLIKE
GARCH-t,1.70458868007508,0.040084815169908,0.144892664628091,0.848091031780749,0.772917561257509,5.56798876857572,1.60300357612428
GJR-t,1.71126685846614,0.039175100457982,0.14349672271401,1.02919127721187,0.861571094371589,6.07591679602048,1.61396623225832
SVLT,1.7068748414598,0.0573247325508782,0.187526680462248,2.51680124333067,1.4374431166144,9.55507549728913,2.03532051177599
SVLTRECH-SRN,1.69632429997644,0.0333490599730122,0.136643008256666,0.863674840524633,0.788448068844732,5.65518585167828,1.55831218334448
SVLTRECH-LSTM,1.70078778659626,0.0383086541661229,0.137607533486735,1.03315422001568,0.881342928707057,6.32557379383997,1.605809791288
SVLTRECH-GRU,1.70085683658946,0.0383066919172528,0.143747238858101,0.890730634350609,0.80556519362227,5.81518437812582,1.58231520676777
