Model,Parameter,PosteriorMean,PosteriorStd
SVLTRECH-LSTM,bf,-0.0207363986726872,0.0885534596552221
SVLTRECH-LSTM,Wi_h,-0.0155213191102825,0.0446098217701682
SVLTRECH-LSTM,Wi_r,0.0313607039663585,0.0613306952295816
SVLTRECH-LSTM,Wi_omega,0.0744924062086715,0.0899762903989945
SVLTRECH-LSTM,Wi_z1,0.00497664495403834,0.0829910799734566
SVLTRECH-LSTM,Wi_z2,-0.0509443329233816,0.0544660718889018
SVLTRECH-LSTM,ui,-0.0122811439244345,0.0516571742740075
SVLTRECH-LSTM,bi,-0.0342068957802347,0.0840992434794801
SVLTRECH-LSTM,Wo_h,0.00759302360810379,0.0543596703281271
SVLTRECH-LSTM,Wo_r,0.0235869019236063,0.0640786070421971
SVLTRECH-LSTM,Wo_omega,0.0619213091532228,0.0709447476432751
SVLTRECH-LSTM,Wo_z1,0.0139149258069728,0.097276737789374
SVLTRECH-LSTM,Wo_z2,-0.0298282505371929,0.0739389106938172
SVLTRECH-LSTM,uo,0.0101980621299841,0.0555997574301135
SVLTRECH-LSTM,bo,-0.015006116243941,0.0664411585087871
SVLTRECH-LSTM,Wc_h,-0.0215365071054909,0.0726331121483529
SVLTRECH-LSTM,Wc_r,0.0244725390259935,0.0793170366959975
SVLTRECH-LSTM,Wc_omega,0.0276617367769414,0.0711550856120918
SVLTRECH-LSTM,Wc_z1,-0.0231304022572212,0.101266717031933
SVLTRECH-LSTM,Wc_z2,0.0405331287484907,0.0929610869549978
SVLTRECH-LSTM,uc,-0.0235596222608214,0.0898105976002695
SVLTRECH-LSTM,bc,0.00449783251019883,0.0647815708131412
SVLTRECH-GRU,mu,-1.76721932138528,1.09297135403225
SVLTRECH-GRU,phi,0.899980533829848,0.0593039980672928
SVLTRECH-GRU,sigma_eta,0.273924520943959,0.11656536547243
SVLTRECH-GRU,rho,-0.0563290910348361,0.246772855196938
SVLTRECH-GRU,nu,12.9151080842045,8.65746515800307
SVLTRECH-GRU,beta_0,0.221964441921819,0.0937583309856243
SVLTRECH-GRU,beta_1,0.209113081436035,0.125502724789328
SVLTRECH-GRU,Wz_h,0.00405857074672672,0.0607236096116007
SVLTRECH-GRU,Wz_r,0.0282777838892862,0.0993455423254905
SVLTRECH-GRU,Wz_omega,-0.0281321486774276,0.070652873552044
SVLTRECH-GRU,Wz_z1,0.0342434945507236,0.0923634761134517
SVLTRECH-GRU,Wz_z2,-0.0111288881618947,0.0692459661755657
SVLTRECH-GRU,uz,0.000483446391379421,0.0737350426699825
SVLTRECH-GRU,bz,0.0262382114714957,0.0814420769188892
SVLTRECH-GRU,Wr_h,0.00306683178538653,0.0998636308938554
SVLTRECH-GRU,Wr_r,0.0127435672617964,0.0595319625577668
SVLTRECH-GRU,Wr_omega,-0.00152317400273939,0.0798879074070452
SVLTRECH-GRU,Wr_z1,0.0122709410404323,0.0717672396211588
SVLTRECH-GRU,Wr_z2,0.03612307459163,0.0697927189814324
SVLTRECH-GRU,ur,0.0403584761306592,0.0702512478958862
SVLTRECH-GRU,br,0.0346317457774184,0.0838842165636291
SVLTRECH-GRU,Wh_h,0.038336754399271,0.106466727183264
SVLTRECH-GRU,Wh_r,0.0637211039211794,0.0923936255537629
SVLTRECH-GRU,Wh_omega,-0.042289998196217,0.116635413443849
SVLTRECH-GRU,Wh_z1,0.0335797346848936,0.0564459884374187
SVLTRECH-GRU,Wh_z2,0.0148706374307049,0.0785926947905754
SVLTRECH-GRU,uh,-0.00620062669232245,0.107990175880078
SVLTRECH-GRU,bh,-0.0414120979200296,0.0791258717514444
